team_id,team_name,team_code,men,women,federation_name,region_name,confederation_id,confederation_name,confederation_code,wikipedia_link_men,wikipedia_link_women,wikipedia_link_federation
b627769a-7468-5b82-85ee-a38f3d71a3c6,Tunisia,TUN,TRUE,FALSE,Tunisian Football Federation,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Tunisia_national_football_team,,https://en.wikipedia.org/wiki/Tunisian_Football_Federation
bb4bcbfb-67ac-5582-b11f-3e60fa83af7f,Chinese Taipei,TWN,FALSE,TRUE,Chinese Taipei Football Association,East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,,https://en.wikipedia.org/wiki/Chinese_Taipei_women's_national_football_team,https://en.wikipedia.org/wiki/Chinese_Taipei_Football_Association
c027d703-e533-524d-a335-2ea948d015fd,Cuba,CUB,TRUE,FALSE,Football Association of Cuba,Caribbean,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Cuba_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_Cuba
c42176e0-0fb9-52e6-8d90-65b7655925a0,Dutch East Indies,IDN,TRUE,FALSE,Football Association of Indonesia,South East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Indonesia_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_Indonesia
c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,TRUE,TRUE,Mexican Football Federation,North America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Mexico_national_football_team,https://en.wikipedia.org/wiki/Mexico_women's_national_football_team,https://en.wikipedia.org/wiki/Mexican_Football_Federation
cf23603f-09d6-52e6-9c7e-fb8db4554297,Czechoslovakia,CSK,TRUE,FALSE,Football Association of the Czechoslovakia,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Czechoslovakia_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
d1c45d05-d0bd-55b8-b370-dfa64d998bcc,Turkey,TUR,TRUE,FALSE,Turkish Football Association,"Europe, Asia",e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Turkey_national_football_team,,https://en.wikipedia.org/wiki/Turkish_Football_Federation
d499d28a-dd42-5133-8e29-23835731f4ea,Egypt,EGY,TRUE,FALSE,Egyptian Football Association,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Egypt_national_football_team,,https://en.wikipedia.org/wiki/Egyptian_Football_Association
d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,TRUE,TRUE,Royal Dutch Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Netherlands_national_football_team,https://en.wikipedia.org/wiki/Netherlands_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association
d54fde2a-25fe-5c19-820f-93843678e1a3,Zaire,COD,TRUE,FALSE,Congolese Association Football Federation,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/DR_Congo_national_football_team,,https://en.wikipedia.org/wiki/Congolese_Association_Football_Federation
da4d79d5-3e18-54b9-916c-997fdef9a796,Romania,ROU,TRUE,FALSE,Romanian Football Federation,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Romania_national_football_team,,https://en.wikipedia.org/wiki/Romanian_Football_Federation
