tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group G,1,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,3,2,1,0,4,2,2,7,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group G,2,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,3,1,1,1,4,3,1,4,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group G,3,0db8bc49-3546-517c-af2c-7abd04ae2214,Croatia,HRV,3,1,0,2,2,3,-1,3,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group G,4,2179a8d7-c7ed-5c0c-b6a6-8e6eeef52657,Ecuador,ECU,3,1,0,2,2,4,-2,3,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group H,1,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,3,2,1,0,5,2,3,7,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group H,2,3aa56241-3868-505a-ac6a-753aefa79cc2,Belgium,BEL,3,1,2,0,6,5,1,5,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group H,3,6eb0485e-97e8-57e7-bf93-6c300f3e003a,Russia,RUS,3,1,0,2,4,4,0,3,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group H,4,b627769a-7468-5b82-85ee-a38f3d71a3c6,Tunisia,TUN,3,0,1,2,1,5,-4,1,FALSE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group A,1,93542d8e-8aca-5c07-ad21-5c493fdf083e,China,CHN,3,2,1,0,10,3,7,5,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group A,2,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,3,2,0,1,6,5,1,4,TRUE
