stadium_id,stadium_name,city_name,country_name,stadium_capacity,wikipedia_link_stadium,wikipedia_link_city
00728c85-fa34-5849-bb38-06d6efe33144,Estadio Luis Casanova,Valencia,Spain,50000,https://en.wikipedia.org/wiki/Mestalla_Stadium,https://en.wikipedia.org/wiki/Valencia
00d2433d-f598-5d35-9fcc-c2d5e15bb2d7,Wuhan Sports Center,Wuhan,China,60000,https://en.wikipedia.org/wiki/Wuhan_Sports_Center,https://en.wikipedia.org/wiki/Wuhan
020c6015-cf42-5805-92fe-75b4a78b971e,Incheon Munhak Stadium,Incheon,South Korea,52000,https://en.wikipedia.org/wiki/Incheon_Munhak_Stadium,https://en.wikipedia.org/wiki/Incheon
02a16ec9-a8da-5a7d-bbe4-79ecc14bd72b,Estádio dos Eucaliptos,Porto Alegre,Brazil,20000,https://en.wikipedia.org/wiki/Estádio_dos_Eucaliptos,https://en.wikipedia.org/wiki/Porto_Alegre
02e9d772-8d1d-5694-8e58-17645b10101f,Estadio José Rico Pérez,Alicante,Spain,33000,https://en.wikipedia.org/wiki/Estadio_José_Rico_Pérez,https://en.wikipedia.org/wiki/Alicante
036068ae-dd2d-5f4a-9cb5-c2e65738d9e2,Volgograd Arena,Volgograd,Russia,44000,https://en.wikipedia.org/wiki/Volgograd_Arena,https://en.wikipedia.org/wiki/Volgograd
03c8a31e-d096-598b-aab1-286b3a18a20f,Rostov Arena,Rostov-on-Don,Russia,43000,https://en.wikipedia.org/wiki/Rostov_Arena,https://en.wikipedia.org/wiki/Rostov-on-Don
03dd779a-54a8-5998-9b26-43ef6cef4db8,Stade de Gerland,Lyon,France,44000,https://en.wikipedia.org/wiki/Stade_de_Gerland,https://en.wikipedia.org/wiki/Lyon
04472fa6-ed12-5a6d-badf-152c39f39441,Estadio Chateau Carreras,Córdoba,Argentina,47000,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,"https://en.wikipedia.org/wiki/Córdoba,_Argentina"
0531a6fe-d215-5fed-9555-85706fa945e9,Jack Kent Cooke Stadium,"Washington, D.C.",United States,80000,https://en.wikipedia.org/wiki/Jack_Kent_Cooke_Stadium,"https://en.wikipedia.org/wiki/Washington,_D.C."
05a60601-4542-5321-9c46-6798eaae95ce,Stade de la Meinau,Strasbourg,France,30000,https://en.wikipedia.org/wiki/Stade_de_la_Meinau,https://en.wikipedia.org/wiki/Strasbourg
