tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,squad_position_name,squad_position_code
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,f8351033-f5ab-56df-b2fd-e3192a977c3b,Onguéné,Gabrielle,7,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,4b9a320e-a227-527b-8acb-041150d721e9,Feudjio,Raissa,8,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,760defef-80be-5102-98d0-a1f91293f884,Ngono Mani,Madeleine,9,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,cbc52401-7bcc-595a-a55e-af12a22cd09d,Yango,Jeannette,10,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,9c7531f3-5aeb-529a-9fb4-6115b7e822cf,Awona,Aurelle,11,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,93056a4b-969d-593a-ab0b-2e137b88a33e,Meffometou,Claudine,12,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,8e4d4893-e544-5dee-a53a-543a46c3fe41,Meyong,Charlène,13,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,d60574a5-079f-53dc-b07a-f36a9d6b207d,Abena,Ninon,14,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,8883e33b-0db4-5ac9-a304-cbb1edc2bb8d,Sonkeng,Ysis,15,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,c9d4e50d-70e1-5cb1-9f2b-7fc51c37c257,Mambingo,Isabelle,16,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,a2c3a6c1-7a4a-5a7b-8bfd-c54f526e89e3,Enganamouit,Gaëlle,17,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,e36854ed-f789-51e7-bcad-9e208578f533,Akaba,Henriette,18,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,0107c325-0adf-561c-b5ed-0bc8ff5abdcd,Ngo Ndoumbouk,Marlyse,19,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,739bcb13-d91e-5ada-9e2a-6b6096ee5c44,Ngo Mbeleck,Genevieve,20,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,18e54aa9-f5cb-5173-84ff-32076804db99,Takounda,Alexandra,21,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,8057ec69-48ac-5eac-b0d0-408364e638c9,Abam,Michaela,22,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,82c8595d-d587-5b13-83b2-afa3ef2b7296,Ongmahan,Marthe,23,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,cf4f9229-89fc-5594-967e-8ed817184518,Labbé,Stephanie,1,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,c87511a9-5713-5ce8-92d1-3f51708bedf6,Chapman,Allysha,2,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,daaaa7ff-bdbf-5130-a0ec-bdd048640701,Buchanan,Kadeisha,3,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,54337202-7dd9-5031-a7ca-153972cecf9b,Zadorsky,Shelina,4,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,c3c451be-bcd3-56cd-b9c3-b992eccab488,Quinn,,5,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,e15a5a22-aa71-569b-afc7-e4fb730ca771,Rose,Deanne,6,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,7a3d393b-b02f-54f1-b351-bf5265f01d18,Grosso,Julia,7,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,e00d1047-47d8-5ecf-a293-d0d4849cfc0a,Riviere,Jayde,8,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,6cf9613d-bb06-5183-82c9-a3f138147b3b,Huitema,Jordyn,9,forward,FW
