tournament_id,tournament_name,team_id,team_name,team_code,manager_id,family_name,given_name,country_name
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,db3abc88-7f89-5183-bc6d-ea6fa7c361d9,Peru,PER,a161b99c-7edb-5948-89e9-aac9e3710dfe,Gareca,Ricardo,Argentina
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,aec9de42-ea25-5224-b04b-167d21a55ab8,Deschamps,Didier,France
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,6eb0485e-97e8-57e7-bf93-6c300f3e003a,Russia,RUS,ba6f283c-01d4-5d71-a46a-b29b74ca4d47,Cherchesov,Stanislav,Russia
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,13eebf0f-eb49-5e70-97f9-84f0395ceff1,Portugal,PRT,c3d6645a-a87c-5c22-b380-03b193f92781,Santos,Fernando,Portugal
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,f201a6b5-a9f6-5612-947b-a6a57d2e7e18,Nigeria,NGA,ce4eceef-70ed-5b46-bf34-d895cdb7d814,Rohr,Gernot,Germany
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,d06e4188-60ba-5135-8005-fe325fb3c202,Pizzi,Juan Antonio,Spain
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,d46f4e7a-bb39-5483-99ff-6d18536df6d5,Southgate,Gareth,England
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,dcf63a98-89cf-54ff-a224-48858ac5127c,Tite,,Brazil
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,dfb099cc-e7ea-5e4f-b492-bdbf6e8e179b,Denmark,DNK,e397ac4b-642d-57c5-86b9-1e53d92c5f7c,Hareide,Åge,Norway
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,e742f70c-5b4f-52a7-b005-1fb4b67bff9e,Hierro,Fernando,Spain
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,f8d97333-ee97-5021-897a-e113a86be610,Osorio,Juan Carlos,Colombia
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,f97b4ee3-6be3-51b8-8a32-2c07f6d3a34f,van Marwijk,Bert,Netherlands
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,f98b62f6-6a0f-5bec-b6fd-b3a9919242e1,Löw,Joachim,Germany
