tournament_id,tournament_name,stage_number,stage_name,group_name,count_teams
5628ea07-73ab-57ad-99be-84c20dc96cc0,1954 FIFA Men's World Cup,1,group stage,Group 1,4
5628ea07-73ab-57ad-99be-84c20dc96cc0,1954 FIFA Men's World Cup,1,group stage,Group 2,4
5628ea07-73ab-57ad-99be-84c20dc96cc0,1954 FIFA Men's World Cup,1,group stage,Group 3,4
5628ea07-73ab-57ad-99be-84c20dc96cc0,1954 FIFA Men's World Cup,1,group stage,Group 4,4
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,1,first round,Group 1,4
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,1,first round,Group 2,4
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,1,first round,Group 3,3
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,1,first round,Group 4,2
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,2,final round,Group 1,4
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,1,group stage,Group 1,4
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,1,group stage,Group 2,4
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,1,group stage,Group 3,4
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,1,group stage,Group 4,4
717bed6b-0e65-5efa-8010-ab689ff32abe,1970 FIFA Men's World Cup,1,group stage,Group 1,4
717bed6b-0e65-5efa-8010-ab689ff32abe,1970 FIFA Men's World Cup,1,group stage,Group 2,4
717bed6b-0e65-5efa-8010-ab689ff32abe,1970 FIFA Men's World Cup,1,group stage,Group 3,4
717bed6b-0e65-5efa-8010-ab689ff32abe,1970 FIFA Men's World Cup,1,group stage,Group 4,4
860dc5fb-c8ff-502e-ad19-c34195b265e0,1974 FIFA Men's World Cup,1,first group stage,Group 1,4
860dc5fb-c8ff-502e-ad19-c34195b265e0,1974 FIFA Men's World Cup,1,first group stage,Group 2,4
860dc5fb-c8ff-502e-ad19-c34195b265e0,1974 FIFA Men's World Cup,1,first group stage,Group 3,4
860dc5fb-c8ff-502e-ad19-c34195b265e0,1974 FIFA Men's World Cup,1,first group stage,Group 4,4
860dc5fb-c8ff-502e-ad19-c34195b265e0,1974 FIFA Men's World Cup,2,second group stage,Group A,4
860dc5fb-c8ff-502e-ad19-c34195b265e0,1974 FIFA Men's World Cup,2,second group stage,Group B,4
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,1,group stage,Group A,4
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,1,group stage,Group B,4
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,1,group stage,Group C,4
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,1,group stage,Group D,4
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,1,group stage,Group E,4
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,1,group stage,Group F,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group A,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group B,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group C,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group D,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group E,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group F,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group G,4
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,1,group stage,Group H,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,1,first group stage,Group 1,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,1,first group stage,Group 2,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,1,first group stage,Group 3,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,1,first group stage,Group 4,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,1,first group stage,Group 5,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,1,first group stage,Group 6,4
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,2,second group stage,Group A,3
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,2,second group stage,Group B,3
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,2,second group stage,Group C,3
980713b4-f72a-5fb3-a406-6de227728b1d,1982 FIFA Men's World Cup,2,second group stage,Group D,3
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group A,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group B,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group C,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group D,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group E,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group F,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group G,4
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,1,group stage,Group H,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group A,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group B,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group C,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group D,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group E,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group F,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group G,4
a3355eb2-b9f4-5e9c-92d3-dc9cb37177b6,2010 FIFA Men's World Cup,1,group stage,Group H,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group A,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group B,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group C,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group D,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group E,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group F,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group G,4
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group H,4
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group A,4
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group B,4
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group C,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group A,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group B,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group C,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group D,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group E,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group F,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group G,4
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group H,4
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group A,4
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group B,4
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group C,4
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group D,4
f97aa139-2102-5d5d-adbe-eb5f91a07de6,1962 FIFA Men's World Cup,1,group stage,Group 1,4
f97aa139-2102-5d5d-adbe-eb5f91a07de6,1962 FIFA Men's World Cup,1,group stage,Group 2,4
f97aa139-2102-5d5d-adbe-eb5f91a07de6,1962 FIFA Men's World Cup,1,group stage,Group 3,4
f97aa139-2102-5d5d-adbe-eb5f91a07de6,1962 FIFA Men's World Cup,1,group stage,Group 4,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group A,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group B,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group C,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group D,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group E,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group F,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group G,4
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,1,group stage,Group H,4
