match_id,match_slug,match_url,title,home_team,away_team,kickoff,round,venue,referee,status,home_score,away_score,category,player,saves,goals_conceded,xgot_faced,goals_prevented,acted_as_sweeper,high_claim,accurate_long_balls,accurate_passes
4667819,dr-congo-vs-portugal,https://www.fotmob.com/matches/dr-congo-vs-portugal/1s6g4o#4667819,Portugal vs DR Congo (2026-06-17T17:00:00.000Z),Portugal,DR Congo,2026-06-17T17:00:00.000Z,FIFA World Cup Round 1,Houston Stadium,Abdulrahman Ibrahim Al Jassim,Full time,1,1,Goalkeeping,Lionel Mpasi-Nzau,0,1,0.53,-0.47,1,3,2/18 (11%),9/25 (36%)
4667825,england-vs-croatia,https://www.fotmob.com/matches/england-vs-croatia/2viayw#4667825,England vs Croatia (2026-06-17T20:00:00.000Z),England,Croatia,2026-06-17T20:00:00.000Z,FIFA World Cup Round 1,Dallas Stadium,Clément Turpin,Full time,4,2,Goalkeeping,Dominik Livakovic,7,4,3.33,-0.67,0,0,9/20 (45%),24/35 (69%)
4667825,england-vs-croatia,https://www.fotmob.com/matches/england-vs-croatia/2viayw#4667825,England vs Croatia (2026-06-17T20:00:00.000Z),England,Croatia,2026-06-17T20:00:00.000Z,FIFA World Cup Round 1,Dallas Stadium,Clément Turpin,Full time,4,2,Goalkeeping,Jordan Pickford,3,2,0.51,-1.49,2,2,7/19 (37%),43/55 (78%)
4667826,panama-vs-ghana,https://www.fotmob.com/matches/panama-vs-ghana/1bjek0#4667826,Ghana vs Panama (2026-06-17T23:00:00.000Z),Ghana,Panama,2026-06-17T23:00:00.000Z,FIFA World Cup Round 1,Toronto Stadium,Glenn Nyberg,Full time,1,0,Goalkeeping,Benjamin Asare,3,0,0.7,0.7,1,1,6/10 (60%),6/10 (60%)
4667826,panama-vs-ghana,https://www.fotmob.com/matches/panama-vs-ghana/1bjek0#4667826,Ghana vs Panama (2026-06-17T23:00:00.000Z),Ghana,Panama,2026-06-17T23:00:00.000Z,FIFA World Cup Round 1,Toronto Stadium,Glenn Nyberg,Full time,1,0,Goalkeeping,Orlando Mosquera,2,1,1.04,0.04,0,0,4/9 (44%),25/30 (83%)
4667826,panama-vs-ghana,https://www.fotmob.com/matches/panama-vs-ghana/1bjek0#4667826,Ghana vs Panama (2026-06-17T23:00:00.000Z),Ghana,Panama,2026-06-17T23:00:00.000Z,FIFA World Cup Round 1,Toronto Stadium,Glenn Nyberg,Full time,1,0,Goalkeeping,Lawrence Ati-Zigi,1,0,0.66,0.66,0,1,4/7 (57%),7/10 (70%)
4667754,mexico-vs-south-korea,https://www.fotmob.com/matches/mexico-vs-south-korea/1qpvav#4667754,Mexico vs South Korea (2026-06-19T01:00:00.000Z),Mexico,South Korea,2026-06-19T01:00:00.000Z,,Guadalajara Stadium,Gustavo Adrian Tejera Capo,Full time,1,0,Goalkeeping,Seung-Gyu Kim,3,1,0.9,-0.1,2,0,4/18 (22%),23/37 (62%)
4667754,mexico-vs-south-korea,https://www.fotmob.com/matches/mexico-vs-south-korea/1qpvav#4667754,Mexico vs South Korea (2026-06-19T01:00:00.000Z),Mexico,South Korea,2026-06-19T01:00:00.000Z,,Guadalajara Stadium,Gustavo Adrian Tejera Capo,Full time,1,0,Goalkeeping,Raúl Rangel,2,0,0.76,0.76,2,0,9/21 (43%),19/31 (61%)
4667753,south-africa-vs-czechia,https://www.fotmob.com/matches/south-africa-vs-czechia/1tbjja#4667753,Czechia vs South Africa (2026-06-18T16:00:00.000Z),Czechia,South Africa,2026-06-18T16:00:00.000Z,,Atlanta Stadium,Mary Victoria Penso,Full time,1,1,Goalkeeping,Matej Kovár,3,1,1.12,0.12,1,0,3/11 (27%),16/24 (67%)
4667753,south-africa-vs-czechia,https://www.fotmob.com/matches/south-africa-vs-czechia/1tbjja#4667753,Czechia vs South Africa (2026-06-18T16:00:00.000Z),Czechia,South Africa,2026-06-18T16:00:00.000Z,,Atlanta Stadium,Mary Victoria Penso,Full time,1,1,Goalkeeping,Ronwen Williams,2,1,0.53,-0.47,0,0,7/23 (30%),48/64 (75%)
4667760,canada-vs-qatar,https://www.fotmob.com/matches/canada-vs-qatar/14u9ym#4667760,Canada vs Qatar (2026-06-18T22:00:00.000Z),Canada,Qatar,2026-06-18T22:00:00.000Z,,,,Full time,6,0,Goalkeeping,Mahmud Abunada,4,6,4.85,-0.15,0,3,6/25 (24%),11/30 (37%)
4667760,canada-vs-qatar,https://www.fotmob.com/matches/canada-vs-qatar/14u9ym#4667760,Canada vs Qatar (2026-06-18T22:00:00.000Z),Canada,Qatar,2026-06-18T22:00:00.000Z,,,,Full time,6,0,Goalkeeping,Maxime Crépeau,0,0,0.0,0.0,0,0,0/1 (0%),14/15 (93%)
4667759,switzerland-vs-bosnia-herzegovina,https://www.fotmob.com/matches/switzerland-vs-bosnia-herzegovina/2c9awx#4667759,Switzerland vs Bosnia and Herzegovina (2026-06-18T19:00:00.000Z),Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00.000Z,,Los Angeles Stadium,João Pedro Silva Pinheiro,Full time,4,1,Goalkeeping,Nikola Vasilj,3,4,2.46,-1.54,1,0,5/23 (22%),21/39 (54%)
4667759,switzerland-vs-bosnia-herzegovina,https://www.fotmob.com/matches/switzerland-vs-bosnia-herzegovina/2c9awx#4667759,Switzerland vs Bosnia and Herzegovina (2026-06-18T19:00:00.000Z),Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00.000Z,,Los Angeles Stadium,João Pedro Silva Pinheiro,Full time,4,1,Goalkeeping,Gregor Kobel,2,1,0.27,-0.73,0,1,2/14 (14%),24/36 (67%)
4667767,haiti-vs-brazil,https://www.fotmob.com/matches/haiti-vs-brazil/1ny7ix#4667767,Brazil vs Haiti (2026-06-20T00:30:00.000Z),Brazil,Haiti,2026-06-20T00:30:00.000Z,,Philadelphia Stadium,Alejandro José Hernández Hernández,Full time,3,0,Goalkeeping,Alisson Becker,3,0,0.43,0.43,0,0,2/8 (25%),23/29 (79%)
4667767,haiti-vs-brazil,https://www.fotmob.com/matches/haiti-vs-brazil/1ny7ix#4667767,Brazil vs Haiti (2026-06-20T00:30:00.000Z),Brazil,Haiti,2026-06-20T00:30:00.000Z,,Philadelphia Stadium,Alejandro José Hernández Hernández,Full time,3,0,Goalkeeping,Johny Placide,2,3,2.33,-0.67,0,0,7/18 (39%),21/32 (66%)
4667766,morocco-vs-scotland,https://www.fotmob.com/matches/morocco-vs-scotland/1sv292#4667766,Scotland vs Morocco (2026-06-19T22:00:00.000Z),Scotland,Morocco,2026-06-19T22:00:00.000Z,,Boston Stadium,Ilgiz Tantashev,Full time,0,1,Goalkeeping,Angus Gunn,1,1,0.49,-0.51,2,1,3/9 (33%),22/28 (79%)
4667766,morocco-vs-scotland,https://www.fotmob.com/matches/morocco-vs-scotland/1sv292#4667766,Scotland vs Morocco (2026-06-19T22:00:00.000Z),Scotland,Morocco,2026-06-19T22:00:00.000Z,,Boston Stadium,Ilgiz Tantashev,Full time,0,1,Goalkeeping,Yassine Bounou,0,0,0.0,0.0,0,0,2/15 (13%),24/37 (65%)
4667774,usa-vs-australia,https://www.fotmob.com/matches/usa-vs-australia/1hox83#4667774,USA vs Australia (2026-06-19T19:00:00.000Z),USA,Australia,2026-06-19T19:00:00.000Z,,Seattle Stadium,Felix Zwayer,Full time,2,0,Goalkeeping,Matt Freese,2,0,0.09,0.09,2,0,5/17 (29%),12/25 (48%)
4667774,usa-vs-australia,https://www.fotmob.com/matches/usa-vs-australia/1hox83#4667774,USA vs Australia (2026-06-19T19:00:00.000Z),USA,Australia,2026-06-19T19:00:00.000Z,,Seattle Stadium,Felix Zwayer,Full time,2,0,Goalkeeping,Patrick Beach,1,2,1.31,0.31,0,0,5/10 (50%),10/15 (67%)
4667773,turkiye-vs-paraguay,https://www.fotmob.com/matches/turkiye-vs-paraguay/1gte1s#4667773,Turkiye vs Paraguay (2026-06-20T03:00:00.000Z),Turkiye,Paraguay,2026-06-20T03:00:00.000Z,,San Francisco Bay Area Stadium,Iván Arcides Barton Cisneros,Full time,0,1,Goalkeeping,Orlando Gill,5,0,0.67,0.67,1,0,12/34 (35%),12/35 (34%)
4667773,turkiye-vs-paraguay,https://www.fotmob.com/matches/turkiye-vs-paraguay/1gte1s#4667773,Turkiye vs Paraguay (2026-06-20T03:00:00.000Z),Turkiye,Paraguay,2026-06-20T03:00:00.000Z,,San Francisco Bay Area Stadium,Iván Arcides Barton Cisneros,Full time,0,1,Goalkeeping,Ugurcan Çakir,1,1,0.21,-0.79,3,0,2/4 (50%),27/29 (93%)
