team,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches_last_4y,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,draws_last_4y,losses_last_4y,world_cup_participations_before,world_cup_titles_before,data_as_of,ranking_source,recent_form_source,world_cup_history_source
Samoa,188,876.41,14,26,33,6,0,8,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Aruba,189,875.61,22,35,42,8,3,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Mongolia,190,874.47,14,8,32,3,0,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
American Samoa,191,871.61,7,4,44,0,0,7,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bhutan,192,870.81,19,10,46,3,2,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Macau,193,858.03,12,3,31,0,1,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Brunei,194,857.73,26,21,78,8,1,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
São Tomé and Príncipe,195,855.44,16,8,38,1,3,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Djibouti,196,853.58,16,12,39,2,3,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Cayman Islands,197,850.06,21,21,47,6,3,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Pakistan,198,840.28,24,11,53,4,3,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Somalia,199,839.17,16,7,31,1,3,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Tonga,200,835.64,8,12,23,2,0,6,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Timor-Leste,201,831.0,18,14,51,4,1,13,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
