match_id,match_slug,match_url,home_team,away_team,kickoff,final_score,goal_index,minute,minute_base,stoppage_minute,elapsed_minute,scorer,scoring_country,opponent_country,credited_player_country,own_goal,penalty,score_before,score_after,scoring_team_score_before,opponent_score_before,scoring_team_score_after,opponent_score_after,home_score_before,away_score_before,home_score_after,away_score_after,raw_event
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden,Tunisia,2026-06-15T02:00:00.000Z,5-1,5,84,84,0,84.0,Mattias Svanberg,Sweden,Tunisia,Sweden,False,False,3-1,4-1,3,1,4,1,3,1,4,1,84’ Firas Chaouat Anis Ben Slimane Mattias Svanberg (4 - 1) assist by Alexander Isak 84’ Anthony Elanga Alexander Isak 90’ Daniel Svensson Alexander Bernhardsson 90’ +6 minutes added Yasin Ayari
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden,Tunisia,2026-06-15T02:00:00.000Z,5-1,6,90+6,90,6,96.0,Yasin Ayari,Sweden,Tunisia,Sweden,False,False,4-1,5-1,4,1,5,1,4,1,5,1,90’ +6 minutes added Yasin Ayari (5 - 1) assist by Lucas Bergvall 90’ +6
4667783,netherlands-vs-japan,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,Netherlands,Japan,2026-06-14T20:00:00.000Z,2-2,1,50,50,0,50.0,Virgil van Dijk,Netherlands,Japan,Netherlands,False,False,0-0,1-0,0,0,1,0,0,0,1,0,"+3 minutes added HT 0 - 0 Virgil van Dijk (1 - 0) Header, assist by Ryan Gravenberch 50’ 57’ Keito Nakamura"
4667783,netherlands-vs-japan,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,Netherlands,Japan,2026-06-14T20:00:00.000Z,2-2,2,57,57,0,57.0,Keito Nakamura,Japan,Netherlands,Japan,False,False,1-0,1-1,0,1,1,1,1,0,1,1,57’ Keito Nakamura (1 - 1) assist by Takefusa Kubo Crysencio Summerville 61’ Crysencio Summerville
4667783,netherlands-vs-japan,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,Netherlands,Japan,2026-06-14T20:00:00.000Z,2-2,3,64,64,0,64.0,Crysencio Summerville,Netherlands,Japan,Netherlands,False,False,1-1,2-1,1,1,2,1,1,1,2,1,61’ Crysencio Summerville (2 - 1) assist by Ryan Gravenberch 64’ 66’ Junya Ito Daizen Maeda Memphis Depay Donyell Malen 70’ Teun Koopmeiners Crysencio Summerville 70’ Quinte
4667783,netherlands-vs-japan,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,Netherlands,Japan,2026-06-14T20:00:00.000Z,2-2,4,88,88,0,88.0,Daichi Kamada,Japan,Netherlands,Japan,False,False,2-1,2-2,1,2,2,2,2,1,2,2,"88’ Daichi Kamada (2 - 2) Header, assist by Koki Ogawa +6 minutes added Micky van de Ven 90’ +1"
4667791,new-zealand-vs-iran,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,Iran,New Zealand,2026-06-16T01:00:00.000Z,2-2,1,7,7,0,7.0,Elijah Just,New Zealand,Iran,New Zealand,False,False,0-0,0-1,0,0,1,0,0,0,0,1,7’ Elijah Just (0 - 1) assist by Chris Wood Ramin Rezaeian
4667791,new-zealand-vs-iran,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,Iran,New Zealand,2026-06-16T01:00:00.000Z,2-2,2,32,32,0,32.0,Ramin Rezaeian,Iran,New Zealand,Iran,False,False,0-1,1-1,0,1,1,1,0,1,1,1,7’ Elijah Just (0 - 1) assist by Chris Wood Ramin Rezaeian (1 - 1) 32’ +6 minutes added HT 1 - 1 Mehdi Ghayedi Aria Yousefi 46’ Ali Alipour Shahriar Moghanlou 53’ 54’ Elijah Just
4667791,new-zealand-vs-iran,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,Iran,New Zealand,2026-06-16T01:00:00.000Z,2-2,3,54,54,0,54.0,Elijah Just,New Zealand,Iran,New Zealand,False,False,1-1,1-2,1,1,2,1,1,1,1,2,54’ Elijah Just (1 - 2) assist by Chris Wood Mohammad Mohebi
4667791,new-zealand-vs-iran,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,Iran,New Zealand,2026-06-16T01:00:00.000Z,2-2,4,64,64,0,64.0,Mohammad Mohebi,Iran,New Zealand,Iran,False,False,1-2,2-2,1,2,2,2,1,2,2,2,"54’ Elijah Just (1 - 2) assist by Chris Wood Mohammad Mohebi (2 - 2) Header, assist by Ramin Rezaeian 64’ Ehsan Haji Safi Saman Ghoddos 65’ 68’ Benjamin Old Liberato Cacace 68’ Ryan Thomas Callum McCowatt 77’"
4667790,belgium-vs-egypt,https://www.fotmob.com/matches/belgium-vs-egypt/2u3bhg#4667790,Belgium,Egypt,2026-06-15T19:00:00.000Z,1-1,1,34,34,0,34.0,Emam Ashour,Egypt,Belgium,Egypt,False,False,0-0,0-1,0,0,1,0,0,0,0,1,19’ Emam Ashour (0 - 1) assist by Mohamed Salah 34’ Ahmed Abou El Fotouh +4 minutes added HT 0 - 1 Nicolas Raskin Timothy Castagne 56’ Maxim De Cuyper Amadou Onana
