team,fifa_version,gk,def,mid,att,top11_overall,squad_overall,star_power,depth,value_log,avg_age_top11,n_players
Romania,17,77.0,74.5,73.25,76.5,74.63636363636364,74.63636363636364,77.0,74.63636363636364,17.385043282614657,27.636363636363637,11
Paraguay,17,76.0,74.5,73.25,74.0,74.0909090909091,74.0909090909091,76.0,74.0909090909091,17.259128687459263,27.545454545454547,11
South Africa,17,76.0,69.75,73.0,65.0,71.27272727272727,71.27272727272727,74.0,71.27272727272727,16.70727029661379,26.363636363636363,11
China PR,17,73.0,69.66666666666667,70.5,72.66666666666667,71.0909090909091,71.0909090909091,73.33333333333333,71.0909090909091,0.0,27.363636363636363,11
Bolivia,17,66.0,68.0,67.66666666666667,64.5,66.0909090909091,66.0909090909091,69.66666666666667,66.0909090909091,13.887832149776026,28.181818181818183,11
India,17,60.0,58.0,56.5,62.0,59.0,59.0,62.666666666666664,59.0,12.206077645517674,24.727272727272727,11
Argentina,16,76.0,83.0,83.66666666666667,90.5,83.72727272727273,83.72727272727273,88.66666666666667,83.72727272727273,19.63885227063582,27.818181818181817,11
Portugal,16,81.0,78.25,82.0,93.0,81.36363636363636,81.36363636363636,86.0,81.36363636363636,19.14241538622331,30.454545454545453,11
Netherlands,16,82.0,80.0,83.5,82.33333333333333,82.0909090909091,82.0909090909091,86.0,82.0909090909091,19.34096350108012,26.636363636363637,11
Germany,16,90.0,83.33333333333333,86.5,86.0,84.81818181818181,84.81818181818181,88.0,84.81818181818181,19.88161865038821,26.0,11
Sweden,16,73.0,73.0,75.66666666666667,80.33333333333333,75.72727272727273,75.72727272727273,81.66666666666667,75.72727272727273,18.192524663377426,28.363636363636363,11
Belgium,16,86.0,82.0,84.75,82.0,83.0,83.0,87.0,83.0,19.580701663883914,26.09090909090909,11
Spain,16,84.0,84.25,86.5,86.0,85.0909090909091,85.0909090909091,87.66666666666667,85.0909090909091,19.741102363591775,27.727272727272727,11
Brazil,16,83.0,84.5,82.75,88.0,83.63636363636364,83.63636363636364,86.66666666666667,83.63636363636364,19.517624978858677,27.545454545454547,11
Italy,16,84.0,81.75,78.66666666666667,80.66666666666667,80.81818181818181,80.81818181818181,85.0,80.81818181818181,18.871119224076747,27.363636363636363,11
Wales,16,73.0,74.25,80.0,83.0,75.0,75.0,83.0,75.0,18.566727253522785,26.09090909090909,11
Poland,16,78.0,78.0,74.0,79.33333333333333,76.9090909090909,76.9090909090909,83.66666666666667,76.9090909090909,18.731285578366606,27.272727272727273,11
Colombia,16,78.0,77.0,80.0,81.0,78.9090909090909,78.9090909090909,84.0,78.9090909090909,18.874300900300817,26.636363636363637,11
England,16,83.0,81.5,79.75,86.0,80.81818181818181,80.81818181818181,84.0,80.81818181818181,19.103777593709314,25.545454545454547,11
France,16,84.0,81.25,83.66666666666667,84.33333333333333,83.0,83.0,85.33333333333333,83.0,19.493291233502617,27.181818181818183,11
Chile,16,83.0,73.66666666666667,81.0,86.0,78.72727272727273,78.72727272727273,85.0,78.72727272727273,18.830801670232425,28.181818181818183,11
Côte d'Ivoire,16,68.0,74.75,79.66666666666667,80.0,76.9090909090909,76.9090909090909,82.0,76.9090909090909,18.4675643393932,27.363636363636363,11
Czech Republic,16,85.0,73.25,75.5,72.0,74.9090909090909,74.9090909090909,80.0,74.9090909090909,17.590567731255042,29.0,11
Uruguay,16,82.0,79.75,74.75,81.0,78.36363636363636,78.36363636363636,84.0,78.36363636363636,18.62606758182064,28.181818181818183,11
Austria,16,66.0,75.25,77.5,72.0,74.36363636363636,74.36363636363636,78.33333333333333,74.36363636363636,17.6592547440524,27.272727272727273,11
Turkey,16,75.0,76.5,80.5,79.0,78.18181818181819,78.18181818181819,81.0,78.18181818181819,18.54995308844385,26.363636363636363,11
Slovenia,16,83.0,72.75,73.0,72.33333333333333,73.63636363636364,73.63636363636364,79.33333333333333,73.63636363636364,17.732521124803956,29.545454545454547,11
Greece,16,78.0,78.0,76.25,78.0,77.0,77.0,81.66666666666667,77.0,18.407595514535423,26.181818181818183,11
Denmark,16,75.0,76.25,75.5,72.5,75.18181818181819,75.18181818181819,81.33333333333333,75.18181818181819,18.23344715485648,27.363636363636363,11
Switzerland,16,82.0,79.75,79.25,77.0,79.27272727272727,79.27272727272727,82.33333333333333,79.27272727272727,18.791554414192223,25.545454545454547,11
Finland,16,70.0,69.66666666666667,75.5,70.0,71.54545454545455,71.54545454545455,77.66666666666667,71.54545454545455,17.50688691721445,27.727272727272727,11
Mexico,16,80.0,76.0,78.33333333333333,81.0,77.63636363636364,77.63636363636364,80.66666666666667,77.63636363636364,18.436554102951174,28.363636363636363,11
Russia,16,81.0,77.5,79.25,79.5,78.81818181818181,78.81818181818181,80.33333333333333,78.81818181818181,18.530431616872058,28.545454545454547,11
United States,16,79.0,70.33333333333333,76.25,75.66666666666667,74.72727272727273,74.72727272727273,80.0,74.72727272727273,17.99028238467769,27.09090909090909,11
Republic of Ireland,16,75.0,73.75,76.5,80.0,75.18181818181819,75.18181818181819,80.33333333333333,75.18181818181819,17.850193593819593,30.09090909090909,11
Cameroon,16,68.0,79.5,73.5,78.5,76.0909090909091,76.0909090909091,80.66666666666667,76.0909090909091,18.282854438522723,26.636363636363637,11
Peru,16,73.0,74.0,76.25,76.0,73.0909090909091,73.0909090909091,79.0,73.0909090909091,17.34627317326365,27.636363636363637,11
Hungary,16,69.0,70.0,74.75,71.0,71.81818181818181,71.81818181818181,76.0,71.81818181818181,16.941174045018087,29.454545454545453,11
Venezuela,16,70.0,74.5,72.75,80.0,73.45454545454545,73.45454545454545,77.0,73.45454545454545,17.379393550232137,28.454545454545453,11
